user_id,sessions_ttl,clicks_avg,conversionRate_avg,cancellations_ttl,flights_booked_ttl,hotels_booked_ttl,flightBookingRate,hotelBookingRate,nightsPerTrip_avg,nightsPerTrip_max,lead_time_flight_days_avg,lead_time_flight_days_median,lead_time_flight_days_std,business_weekday_rate,flight_discount_proportion_avg,flight_discount_amount_avg,hotel_discount_proportion_avg,hotel_discount_amount_avg,ads_per_km,session_time_sec_avg,session_time_sec_max,climate_segment_mode,winter_escape_rate,distance_category_mode,recency_days_flight,flight_price_avg,unique_destinations_count,airline_diversity_count,winter_travel_rate,summer_travel_rate,hotel_price_avg,tropics_rate,trips_per_active_month,flight_revenue_total,hotel_revenue_total,revenue_total_user,revenue_per_trip_avg,total_discount_savings,clicks_ttl
94883,8,9.125,0.25,0,2.0,2.0,0.25,0.25,1.0,1.0,6.5,6.5,2.1213203435596424,0.0,0.0,,0.0,,0.0,67.75,196.0,kalt_reise,0.0,regional,456.0,432.04499999999996,2.0,2.0,0.0,0.0,90.0,0.5,1.0,864.0899999999999,180.0,1044.09,522.045,0.0,73
101486,8,16.375,0.25,0,1.0,2.0,0.125,0.25,4.0,5.0,9.0,9.0,,0.0,0.0,,0.0,,0.0,122.25,178.0,kalt_reise,0.0,regional,401.0,189.91,1.0,1.0,0.0,1.0,198.5,0.0,1.0,189.91,397.0,586.91,586.91,0.0,131
101961,8,15.75,0.625,0,5.0,5.0,0.625,0.625,3.8,7.0,5.6,5.0,2.701851217221259,0.6,0.2,0.1,0.0,,0.00075161677276488,117.75,186.0,klimaneutral,0.0,lokal,384.0,248.532,5.0,5.0,0.2,0.2,136.0,0.0,1.25,1242.66,680.0,1922.66,384.53200000000004,4.9670000000000005,126
106907,8,30.0,0.25,1,,,,,,,,,,,,,,,,758.915066125,4886.320529,,,,,,,,,,,,,,,,,,240
118043,8,20.5,0.625,0,3.0,4.0,0.375,0.5,5.5,8.0,8.666666666666666,9.0,0.5773502691896258,0.0,0.0,,0.5,0.15,0.0,153.125,385.0,kalt_reise,0.0,lokal,380.0,779.7633333333333,3.0,3.0,0.0,0.3333333333333333,227.25,0.3333333333333333,1.5,2339.29,909.0,3248.29,1082.7633333333333,0.0,164
125845,9,17.666666666666668,0.3333333333333333,0,3.0,3.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,3.0,8.333333333333334,8.0,1.5275252316519468,0.6666666666666666,0.3333333333333333,0.15,0.0,,0.013151378793936514,131.77777777777777,391.0,kalt_reise,0.0,regional,398.0,584.4399999999999,3.0,3.0,0.3333333333333333,0.3333333333333333,123.66666666666667,0.0,1.0,1753.32,371.0,2124.3199999999997,708.1066666666666,106.557,159
133058,8,9.125,0.125,0,1.0,0.0,0.125,0.0,,,6.0,6.0,,0.0,0.0,,,,0.0,68.125,139.0,kalt_reise,0.0,global,470.0,423.51,1.0,1.0,0.0,0.0,,0.0,1.0,423.51,0.0,423.51,423.51,0.0,73
152583,8,18.625,0.125,0,1.0,1.0,0.125,0.125,2.0,2.0,8.0,8.0,,1.0,0.0,,0.0,,0.0,139.0,248.0,kalt_reise,0.0,regional,397.0,367.83,1.0,1.0,0.0,1.0,213.0,0.0,1.0,367.83,213.0,580.8299999999999,580.8299999999999,0.0,149
153982,8,18.75,0.375,0,3.0,3.0,0.375,0.375,1.3333333333333333,2.0,8.666666666666666,9.0,1.5275252316519468,0.3333333333333333,0.0,,0.0,,0.0,138.5,494.0,kalt_reise,0.0,regional,350.0,218.95666666666668,3.0,2.0,0.3333333333333333,0.3333333333333333,207.0,0.0,1.0,656.87,621.0,1277.87,425.95666666666665,0.0,150
160754,8,10.75,0.125,0,1.0,1.0,0.125,0.125,2.0,2.0,11.0,11.0,,0.0,0.0,,0.0,,0.0,80.875,218.0,kalt_reise,0.0,regional,373.0,93.62,1.0,1.0,0.0,1.0,214.0,0.0,1.0,93.62,214.0,307.62,307.62,0.0,86
